,GTA_6,Lula,Donald_Trump,Itabirito,Belo_Horizonte,Rússia,Ucrânia,Venezuela,Neymar,Síria,Dólar,Campeonato_Mineiro_de_Futebol,Clube_Atlético_Mineiro,Cruzeiro_Esporte_Clube,China
0.01,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
0.015,1,2,1,1,1,2,3,2,1,1,1,1,1,1,2
0.019999999999999997,1,2,1,1,2,2,3,3,1,1,3,2,1,1,3
0.024999999999999998,1,3,1,1,4,2,3,3,4,1,4,3,2,2,3
0.03,1,4,3,2,5,3,4,3,5,1,2,4,3,3,3
0.034999999999999996,2,6,5,2,4,2,3,4,2,1,2,2,4,3,3
0.039999999999999994,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
0.045,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
0.049999999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.05499999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.05999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.06499999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.06999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.07499999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.07999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.08499999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.08999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.09499999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
